# {"t_start": 1601112995.4600706, "env_id": "goalnavigation-v0"} 
r,l,t
-10,10,0.041926
-7,8,0.062872
-10,10,0.088802
-10,10,0.114733
-10,10,0.140665
-10,10,0.166595
-10,10,0.193524
-10,10,0.519176
-10,10,0.545111
-10,10,0.573985
-10,10,0.654807
-10,10,0.680739
-10,10,0.706671
-10,10,0.73256
-10,10,0.830336
-10,10,0.856266
-10,10,0.882208
-10,10,0.909137
-10,10,0.935021
-10,10,1.004873
-10,10,1.030803
-10,10,1.057732
-10,10,1.084661
-10,10,1.109602
-10,10,1.135484
-10,10,1.162462
-10,10,1.255219
-10,10,1.310055
-10,10,1.337981
-10,10,1.362914
-10,10,1.389843
-10,10,1.415773
-10,10,1.4427
-10,10,1.468593
-10,10,1.49556
-10,10,1.521483
-3,4,1.598291
-10,10,1.625223
-10,10,1.651143
-10,10,1.676076
-10,10,1.701008
-4,5,1.714973
-10,10,1.7409
-10,10,1.765836
-10,10,1.79276
-10,10,1.900484
-10,10,1.925413
-6,7,1.94436
-10,10,1.97029
-10,10,1.99718
-10,10,2.024138
-10,10,2.050076
-10,10,2.076004
-10,10,2.102952
-9,10,2.129863
-10,10,2.244546
-10,10,2.275436
-10,10,2.308348
-10,10,2.339264
-10,10,2.42109
-10,10,2.447025
-10,10,2.473951
-10,10,2.498877
-10,10,2.526801
-10,10,2.552694
-4,5,2.615438
-8,9,2.637377
-4,5,2.651343
-7,8,2.672283
-10,10,2.696219
-10,10,2.723147
-10,10,2.749078
-5,6,2.81191
-10,10,2.839835
-10,10,2.866763
-10,10,2.893691
-10,10,2.947547
-9,10,3.004395
-10,10,3.030326
-4,5,3.042294
-4,5,3.056256
-10,10,3.082187
-9,10,3.10812
-9,10,3.134048
-4,5,3.148011
-10,10,3.173942
-10,10,3.20885
-10,10,3.306632
-10,10,3.333522
-4,5,3.347479
-10,10,3.377399
-10,10,3.408317
-10,10,3.43724
-9,10,3.463219
-10,10,3.489099
-10,10,3.514032
-10,10,3.603792
-10,10,3.672608
-10,10,3.697541
-5,6,3.713499
-4,5,3.727461
-10,10,3.753392
-8,9,3.77633
-10,10,3.802262
-4,5,3.816224
-10,10,3.913963
-10,10,3.939893
-10,10,3.965824
-10,10,3.992752
-10,10,4.020688
-10,10,4.04561
-10,10,4.121532
-10,10,4.147462
-10,10,4.173388
-10,10,4.198322
-10,10,4.224268
-10,10,4.250182
-10,10,4.347922
-10,10,4.374845
-10,10,4.401764
-10,10,4.428697
-10,10,4.521419
-10,10,4.546396
-10,10,4.573315
-10,10,4.601205
-10,10,4.626181
-10,10,4.653116
-10,10,4.679025
-10,10,4.81667
-10,10,4.84758
-10,10,4.874513
-10,10,4.901402
-10,10,4.929351
-10,10,4.956287
-10,10,4.98119
-10,10,5.063006
-10,10,5.090077
-10,10,5.144899
-10,10,5.169872
-10,10,5.1968
-10,10,5.22373
-10,10,5.24966
-10,10,5.276594
-10,10,5.302477
-10,10,5.388294
-10,10,5.415221
-10,10,5.474059
-10,10,5.529918
-10,10,5.555832
-10,10,5.582764
-10,10,5.608698
-8,9,5.663552
-10,10,5.69048
-9,10,5.717399
-10,10,5.74434
-10,10,5.771233
-10,10,5.795159
-10,10,5.884921
-10,10,5.910891
-10,10,5.938821
-10,10,6.016587
-10,10,6.04154
-10,10,6.06843
-10,10,6.097392
-5,6,6.113342
-10,10,6.13924
-10,10,6.165213
-10,10,6.260957
-10,10,6.286885
-10,10,6.313914
-10,10,6.339848
-10,10,6.365775
-10,10,6.430597
-10,10,6.458528
-10,10,6.484419
-10,10,6.509394
-10,10,6.535322
-6,7,6.60613
-10,10,6.631066
-10,10,6.656997
-10,10,6.682931
-10,10,6.70882
-10,10,6.732795
-10,10,6.758725
-10,10,6.839514
-10,10,6.86541
-10,10,6.89133
-10,10,6.917301
-10,10,6.944228
-10,10,7.030997
-10,10,7.056932
-10,10,7.081864
-10,10,7.106793
-10,10,7.132731
-10,10,7.159653
-10,10,7.260383
-10,10,7.285316
-10,10,7.312245
-10,10,7.339172
-10,10,7.366617
-10,10,7.390602
-10,10,7.41652
-6,7,7.435472
-9,10,7.4614
-10,10,7.551167
-10,10,7.577051
-10,10,7.603022
-10,10,7.628957
-10,10,7.656029
-10,10,7.749775
-10,10,7.775706
-10,10,7.800646
-6,7,7.8186
-7,8,7.840538
-10,10,7.866464
-10,10,7.891357
-10,10,7.917324
-10,10,7.94326
-10,10,8.056954
-10,10,8.083842
-10,10,8.108815
-10,10,8.136741
-10,10,8.221561
-10,10,8.247492
-10,10,8.273423
-10,10,8.299355
-10,10,8.324282
-10,10,8.351174
-5,6,8.368135
-10,10,8.393103
-10,10,8.497819
-10,10,8.525745
-10,10,8.552631
-10,10,8.623478
-10,10,8.68029
-10,10,8.705271
-10,10,8.731203
-6,7,8.750143
-10,10,8.810979
-10,10,8.837902
-10,10,8.898748
-10,10,8.924677
-10,10,8.94961
-10,10,8.975545
-10,10,9.003465
-10,10,9.0773
-10,10,9.103204
-10,10,9.130127
-10,10,9.23784
-10,10,9.262734
-10,10,9.288711
-10,10,9.314631
-10,10,9.342559
-10,10,9.406393
-10,10,9.432324
-10,10,9.459241
-10,10,9.48514
-10,10,9.510115
-10,10,9.536048
-10,10,9.563967
-10,10,9.590899
-10,10,9.700563
-10,10,9.726537
-10,10,9.75347
-10,10,9.779391
-10,10,9.80632
-10,10,9.831259
-10,10,9.857184
-10,10,9.960906
-10,10,9.986829
-10,10,10.012771
-10,10,10.038702
-10,10,10.064629
-10,10,10.14043
-10,10,10.16536
-10,10,10.194286
-10,10,10.22022
-7,8,10.289045
-10,10,10.315968
-10,10,10.342889
-10,10,10.369809
-10,10,10.396745
-10,10,10.422637
-10,10,10.447608
-10,10,10.474497
-10,10,10.500427
-10,10,10.61216
-10,10,10.638073
-10,10,10.663032
-10,10,10.689966
-10,10,10.716892
-10,10,10.742819
-10,10,10.827594
-10,10,10.85452
-10,10,10.881449
-10,10,10.907379
-10,10,10.93331
-10,10,10.959202
-8,9,11.039027
-3,4,11.048964
-10,10,11.075889
-9,10,11.103855
-5,6,11.119817
-7,8,11.140717
-5,6,11.155715
-9,10,11.182643
-10,10,11.280387
-10,10,11.307307
-10,10,11.369144
-10,10,11.394077
-10,10,11.419012
-5,6,11.490819
-10,10,11.517709
-10,10,11.54567
-10,10,11.574595
-5,6,11.592546
-10,10,11.621465
-10,10,11.647361
-10,10,11.736157
-8,9,11.759101
-10,10,11.786034
-10,10,11.811961
-10,10,11.838881
-10,10,11.865826
-10,10,11.890749
-10,10,11.975524
-10,10,12.003449
-10,10,12.049286
-10,10,12.07723
-10,10,12.103182
-10,10,12.175989
-10,10,12.199923
-10,10,12.225853
-10,10,12.252781
-10,10,12.278712
-10,10,12.304646
-10,10,12.329538
-10,10,12.409364
-10,10,12.436291
-10,10,12.462221
-10,10,12.488113
-10,10,12.512091
-10,10,12.539016
-10,10,12.564947
-10,10,12.654706
-10,10,12.682624
-10,10,12.709532
-10,10,12.734456
-10,10,12.761417
-10,10,12.788345
-10,10,12.813283
-10,10,12.901048
-10,10,12.930951
-10,10,12.956859
-10,10,13.028707
-10,10,13.054599
-10,10,13.079532
-10,10,13.106459
-10,10,13.132475
-10,10,13.160394
-10,10,13.187325
-10,10,13.214248
-8,9,13.310999
-10,10,13.337924
-7,8,13.357845
-7,8,13.378819
-6,7,13.398757
-10,10,13.423698
-10,10,13.449645
-10,10,13.526428
-10,10,13.552355
-10,10,13.578243
-10,10,13.605207
-10,10,13.632134
-10,10,13.724889
-10,10,13.751821
-10,10,13.776752
-10,10,13.804669
-10,10,13.829572
-10,10,13.857531
-10,10,13.88446
-10,10,13.911385
-10,10,14.04603
-10,10,14.070967
-10,10,14.096899
-10,10,14.123822
-10,10,14.148756
-10,10,14.173692
-10,10,14.202614
-10,10,14.228544
-10,10,14.333225
-6,7,14.350178
-10,10,14.376152
-10,10,14.404074
-7,8,14.425017
-8,9,14.44796
-10,10,14.474281
-10,10,14.500815
-10,10,14.526747
-10,10,14.553635
-10,10,14.651404
-10,10,14.676337
-10,10,14.704268
-10,10,14.731198
-10,10,14.758126
-10,10,14.784058
-8,9,14.857832
-10,10,14.889737
-10,10,14.914709
-10,10,14.941636
-10,10,14.967567
-10,10,14.994455
-10,10,15.022416
-10,10,15.048351
-10,10,15.074283
-10,10,15.179994
-10,10,15.205933
-10,10,15.234812
-10,10,15.318588
-10,10,15.345515
-10,10,15.371446
-10,10,15.398374
-10,10,15.425303
-10,10,15.450238
-10,10,15.546019
-10,10,15.571951
-10,10,15.611803
-10,10,15.647707
-10,10,15.684608
-10,10,15.718517
-8,9,15.820246
-10,10,15.858512
-10,10,15.894919
-10,10,15.921841
-10,10,15.946774
-10,10,15.972741
-10,10,16.054533
-10,10,16.080456
-10,10,16.107345
-10,10,16.132329
-10,10,16.159246
-10,10,16.187168
-10,10,16.213098
-10,10,16.240999
-10,10,16.33477
-10,10,16.359681
-10,10,16.386641
-10,10,16.412568
-10,10,16.440492
-10,10,16.467425
-10,10,16.493349
-10,10,16.519243
-10,10,16.544217
-10,10,16.653883
-10,10,16.679813
-10,10,16.706742
-10,10,16.730678
-10,10,16.811558
-10,10,16.837489
-10,10,16.863431
-3,4,16.87439
-10,10,16.901319
-10,10,16.930242
-10,10,16.99902
-10,10,17.025985
-10,10,17.096796
-10,10,17.158632
-10,10,17.185562
-10,10,17.211489
-10,10,17.236422
-10,10,17.261356
-10,10,17.288246
-10,10,17.31617
-6,7,17.397992
-10,10,17.423882
-10,10,17.450857
-10,10,17.477776
-10,10,17.545595
-10,10,17.579504
-8,9,17.618413
-10,10,17.699185
-10,10,17.725115
-10,10,17.752043
-10,10,17.777974
-10,10,17.804914
-10,10,17.832802
-10,10,17.917611
-10,10,17.945488
-10,10,17.973413
-10,10,18.037281
-10,10,18.063211
-5,6,18.079129
-10,10,18.105099
-10,10,18.132027
-10,10,18.221792
-10,10,18.248716
-10,10,18.274646
-10,10,18.299542
-10,10,18.32551
-10,10,18.358385
-10,10,18.385346
-10,10,18.41128
-10,10,18.521974
-10,10,18.564917
-10,10,18.592854
-10,10,18.619766
-10,10,18.64669
-5,6,18.722495
-6,7,18.741441
-10,10,18.768331
-8,9,18.79127
-9,10,18.820192
-10,10,18.889011
-10,10,18.916936
-10,10,18.9439
-10,10,18.971829
-10,10,19.064539
-10,10,19.092464
-10,10,19.120389
-10,10,19.148315
