# {"t_start": 1599164722.0623336, "env_id": "gaussexplore-v0"} 
r,l,t
1.681298,20,1.090403
3.019843,20,1.692938
0.356349,20,2.221618
1.259421,20,2.788368
3.369428,20,3.396674
8.04525,20,4.003705
5.707771,20,4.58838
2.888936,20,5.19499
2.312208,20,5.781393
0.094081,20,6.321671
7.852548,20,6.891391
4.397392,20,7.50023
0.113735,20,8.121921
2.528602,20,8.669189
0.564188,20,9.254006
1.314207,20,9.803411
2.225669,20,10.325742
2.220046,20,10.89606
0.102914,20,11.498442
0.713948,20,12.103403
1.868147,20,12.668038
0.253433,20,13.246865
7.317147,20,13.775736
5.147866,20,14.411983
2.38153,20,14.9717
0.352238,20,15.518154
2.985942,20,16.090461
2.375331,20,16.682101
1.283291,20,17.315105
2.33619,20,17.908131
0.873546,20,18.474308
1.629848,20,19.049392
4.868285,20,19.654682
0.66549,20,20.285242
1.419588,20,20.884882
4.938757,20,21.464311
1.138294,20,22.059903
2.022616,20,22.573583
2.172662,20,23.092534
2.038341,20,23.595969
2.146605,20,24.145826
0.952061,20,24.765011
8.366651,20,25.328249
3.291095,20,25.907917
2.230915,20,26.557178
0.923904,20,27.057957
4.073581,20,27.668597
4.980961,20,28.280671
3.748954,20,28.901758
1.424093,20,29.438979
2.510348,20,30.037017
5.157187,20,30.624601
1.707225,20,31.135445
0.272053,20,31.785408
4.420047,20,32.37867
0.955786,20,32.919997
2.104587,20,33.443223
1.950203,20,33.944895
1.361566,20,34.5655
2.078565,20,35.145813
1.778691,20,35.780407
1.421312,20,36.341218
0.942906,20,36.920384
2.072602,20,37.55567
0.291478,20,38.105857
0.056521,20,38.793718
1.3268,20,39.465848
1.714666,20,40.03434
2.155947,20,40.628844
0.439846,20,41.054471
4.117964,20,41.521089
2.360548,20,42.081906
0.024571,20,42.682752
7.620277,20,43.285953
0.709685,20,43.717073
1.679711,20,44.149218
2.732229,20,44.668255
2.085452,20,45.298633
1.355462,20,45.828267
3.139278,20,46.362737
0.932703,20,46.980208
3.814421,20,47.593456
0.164192,20,48.10187
4.670929,20,48.642615
1.391778,20,49.27576
2.541125,20,49.864407
2.736129,20,50.4097
2.452454,20,51.010211
2.522675,20,51.532368
0.205088,20,52.121834
3.421589,20,52.693615
0.501419,20,53.299454
0.894025,20,53.917073
1.658897,20,54.424926
0.791253,20,55.051919
1.83648,20,55.572237
1.869991,20,56.128433
1.570324,20,56.691498
2.997356,20,57.278701
1.43488,20,57.90041
1.022314,20,58.514657
1.426334,20,59.053208
3.155937,20,59.356359
2.964387,20,59.861233
2.897828,20,60.486358
1.884983,20,61.056161
1.167728,20,61.591462
0.969134,20,62.153482
1.565353,20,62.733201
1.144391,20,63.366416
1.359953,20,63.963627
3.050613,20,64.629182
2.250028,20,65.23822
0.637188,20,65.85657
0.336492,20,66.465448
