         423826 function calls (410833 primitive calls) in 1.550 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      938    0.338    0.000    0.395    0.000 <frozen importlib._bootstrap_external>:914(get_data)
       45    0.276    0.006    0.279    0.006 {built-in method _imp.create_dynamic}
     3942    0.210    0.000    0.210    0.000 {built-in method nt.stat}
      937    0.118    0.000    0.118    0.000 {built-in method marshal.loads}
      937    0.057    0.000    0.057    0.000 {method 'read' of '_io.FileIO' objects}
2366/2361    0.044    0.000    0.126    0.000 {built-in method builtins.__build_class__}
      472    0.024    0.000    0.024    0.000 {built-in method builtins.compile}
     1608    0.016    0.000    0.218    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      938    0.014    0.000    0.603    0.001 <frozen importlib._bootstrap_external>:793(get_code)
   1047/5    0.012    0.000    1.551    0.310 <frozen importlib._bootstrap>:978(_find_and_load)
      126    0.011    0.000    0.011    0.000 {built-in method nt.listdir}
      126    0.010    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
  411/156    0.009    0.000    0.021    0.000 sre_parse.py:469(_parse)
   1423/1    0.008    0.000    1.551    1.551 {built-in method builtins.exec}
     1025    0.008    0.000    0.259    0.000 <frozen importlib._bootstrap>:882(_find_spec)
        1    0.008    0.008    0.008    0.008 {built-in method mkl._py_mkl_service.get_version}
     1876    0.008    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     1432    0.007    0.000    0.007    0.000 {built-in method __new__ of type object at 0x00007FFA421879A0}
    17272    0.007    0.000    0.008    0.000 {built-in method builtins.getattr}
12444/12370    0.007    0.000    0.020    0.000 {built-in method builtins.hasattr}
     2082    0.006    0.000    0.015    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     8014    0.006    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     8014    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     2073    0.006    0.000    0.006    0.000 {built-in method _thread.allocate_lock}
   1004/5    0.006    0.000    1.548    0.310 <frozen importlib._bootstrap>:663(_load_unlocked)
     1004    0.005    0.000    0.028    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     2082    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap>:78(acquire)
     1004    0.005    0.000    0.244    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
